Title,Description,Price,Manufactured Year,Region
Kia Carnival,"2006г., 2.9 л, Дизель, 333 000 км, Минивэн, КПП Автомат, Литые диски, Ксенон, Велюр, Аудиосистема, Bluetooth, MP3, USB, Гидрав…",7800,2006,Самарканд
ВАЗ (Lada) 2107,"2000г., 0.6 л, Газ-бензин, Седан, КПП Механика",2500,2000,Ургутский район
Chevrolet Damas,"2020г., Газ-бензин, 1 км, Белый, Универсал, КПП Механика, Ветровики, Кожа, Yengi moshina gaz ornatilgan variantga beriladi bos…",8500,2020,Чирчик
ВАЗ (Lada) 2106,"1996г., Газ-бензин, Седан, КПП Механика, Аудиосистема, USB, Вложений не требует, Holati a'lo, kraska toza, tõrtta yangi balon,…",2302,1996,Янгибазарский район
"Chevrolet Malibu, 1 позиция","2013г., 2.2 л, Бензин, 177 916 км, Белый, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Гидр…",15000,2013,Самарканд
Chevrolet Damas,"Торг есть 2012г., Газ-бензин, 1 600 км, Седан, КПП Механика, Холати ало без расходы",6000,2012,Наманган
"Chevrolet Nexia 2, 1 позиция SOHC","Торг есть 2009г., 1.5 л, Газ-бензин, 212 508 км, Седан, КПП Механика, Литые диски, Ветровики, Линзованная оптика, Велюр, Шторки, Аудиоси…",4600,2009,Джизак
Daewoo Damas,"1999г., Газ-бензин, Синий, Внедорожник, КПП Механика, MP3",3500,1999,Фергана
Daewoo Matiz (Standart),"2009г., Газ-бензин, Хэтчбек, КПП Механика, Аудиосистема, Техосмотр пройден, Вложений не требует, Полний краска боган олди орка…",3400,2009,Фергана
Daewoo Leganza,"1997г., 1.8 л, Газ-бензин, 187 800 км, Черный, Седан, КПП Механика, Кожа, Аудиосистема, Гидравлика руля, Подушка безопасности,…",3500,1997,Чиназ
"Chevrolet Spark, 4 позиция","Торг есть 2022г., 1.3 л, Бензин, Белый, Хэтчбек, КПП Автомат, Литые диски, Противотуманки, Аудиосистема, Гидравлика руля, Полный электро…",10250,2022,Ташкент
"Chevrolet Matiz, 2 позиция","2013г., 0.8 л, Газ-бензин, 235 000 км, Белый, Хэтчбек, КПП Механика, Аудиосистема, CD, MP3, USB, Holati yahwi",4400,2013,Ташкент
"Chevrolet Lacetti, 3 позиция","2013г., 1.6 л, Бензин, 221 000 км, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, MP3, DV…",8800,2013,Ташкент
"Chevrolet Nexia 2, 4 позиция SOHC","2009г., 1.5 л, Газ, 571 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, Полный электропакет, Центр…",4604,2009,Нукус
"Chevrolet Cobalt, 4 позиция","2021г., 1.5 л, Бензин, 900 км, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидравлика руля…",12523,2021,Турткульский район
Daewoo Matiz (Standart),"Торг есть 2004г., 4.9 л, Газ, 262 000 км, Серый, Седан, КПП Механика, Литые диски, Противотуманки, Корректор фар, Обогрев зеркал, Омыват…",3039,2004,Карши
Daewoo Damas,"Торг есть 2005г., 0.8 л, Газ-бензин, 523 000 км, Молочный цвет, Микроавтобус, КПП Механика, Шторки, Аудиосистема, MP3, Сигнализация, Цен…",4100,2005,Шахрисабз
"Chevrolet Lacetti, 1 позиция","Торг есть 2017г., 1.8 л, Бензин, 80 км, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Полный электропакет, Це…",10908,2017,Самарканд
"Chevrolet Captiva, 3 позиция","2015г., 3 л, Бензин, 80 500 км, Кроссовер, КПП Автомат, Литые диски, Тонировка, Люк, Противотуманки, Обогрев зеркал, Кожа, Ауд…",20500,2015,Ташкент
"Chevrolet Lacetti, 3 позиция","2020г., 1.6 л, Бензин, 20 600 км, Черный, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема,…",14500,2020,Ташкент
Daewoo Nexia,"Есть доставка 2009г., 2 л, Бензин, Дельфин, Кроссовер, КПП Механика, Техосмотр пройден",3959,2009,Навои
Daewoo Damas,"1999г., Газ-бензин, 855 994 км, Внедорожник, КПП Механика, Литые диски, Велюр, MP3, Mator yangi bogan zadnimos karop yaxshi ku…",3000,1999,Наманган
"Chevrolet Lacetti, 3 позиция","2020г., 1.6 л, Бензин, 15 000 км, Седан, КПП Автомат, Литые диски, Люк, Багажник, Противотуманки, Обогрев зеркал, Шторки, Ауди…",14400,2020,Ташкент
"Chevrolet Lacetti, 3 позиция","2020г., 1.6 л, Бензин, 15 000 км, Черный, Седан, КПП Автомат, Литые диски, Люк, Ветровики, Багажник, Противотуманки, Омыватель…",14600,2020,Ташкент
"Chevrolet Spark, 2 позиция","Торг есть 2020г., 1.3 л, Бензин, 42 000 км, Хэтчбек, КПП Механика, Ксенон, Противотуманки, Аудиосистема, CD-чейнджер, MP3, USB, Гидравли…",8600,2020,Ташкент
Москвич 412,"Торг есть 1978г., Газ-бензин, Седан, КПП Механика, MP3, DVD, DVD-чейнджер, Hamma joyiga jovob",1381,1978,Самарканд
"Chevrolet Cobalt, 2 позиция","Есть доставкаТорг есть 2019г., 1.5 л, Газ-бензин, 29 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, USB, ABS, Подушка без…",10589,2019,Шаватский район
Daewoo Damas,"Торг есть 2008г., Газ, 475 000 км, Молочный цвет, Седан, КПП Механика, Обвес, Противотуманки, Кожа, Климат-контроль, Вложений не требует…",5000,2008,Ташкент
ВАЗ (Lada) 2101,"Торг есть 1984г., 1.1 л, Газ-бензин, 333 333 км, Белый, Седан, КПП Механика, Комбинированный, Техосмотр пройден, Вложений не требует, Ma…",2500,1984,Бозский район
Daewoo Nexia,"Торг есть 2006г., 1.5 л, Газ-бензин, Красный, Седан, КПП Механика, Радной краска донс 1.5 матор",5000,2006,Андижан
Chevrolet Damas,"2020г., 2 л, Газ-бензин, 63 000 км, Белый, Седан, КПП Механика, Ichiga poʻlik va boshqa narsalari tayyor toʻshalgan gaz metan",7366,2020,Ургенчский район
ВАЗ (Lada) 2106,"Торг есть 1974г., Газ-бензин, 444 444 км, Сахара, Седан, КПП Механика",1197,1974,Навои
"Chevrolet Captiva, 2 позиция","Торг есть 2011г., 3 л, Бензин, 94 000 км, Молочный цвет, Кроссовер, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Аудиосисте…",13000,2011,Самарканд
"Chevrolet Lacetti, 1 позиция Газ-бензин","Торг есть 2014г., 1.5 л, Газ-бензин, 240 000 км, Белый, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Полный…",9200,2014,Сырдарья
Chevrolet Nexia 2,"2016г., Газ-бензин, 80 000 км, Белый, Седан, КПП Механика, Qolgan malumotlarni telifonda gaplashamiz",7300,2016,Яккабагский район
"Chevrolet Nexia 3, 4 позиция","Торг есть 2020г., 1.5 л, Бензин, 27 000 км, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Велюр, Аудиосистема, Встрое…",9600,2020,Ташкент
ВАЗ (Lada) Нива,"Торг есть 2016г., Газ-бензин, 42 000 км, Внедорожник, КПП Механика, Холати зор чикими йок",10129,2016,Янгибазарский район
Москвич 412,"Торг есть 1984г., Газ, Синий, Седан, КПП Механика, Moshina butun urilmagan petnolari bor",1197,1984,Наманган
Daewoo Tico,"2001г., 0.8 л, Бензин, 204 000 км, Молочный цвет, Хэтчбек, КПП Механика, Техосмотр пройден, Вложений не требует, Moshina 2001-…",2500,2001,Фергана
"Chevrolet Cobalt, 4 евро позиция","2019г., 1.5 л, Газ-бензин, 82 000 км, Бежевый, Седан, КПП Автомат, Литые диски, Обогрев зеркал, Велюр, Аудиосистема, Полный эл…",10700,2019,Джизак
Chevrolet Labo,"2021г., Газ-бензин, 5 000 км, Пикап, КПП Механика",8500,2021,Наманган
"Chevrolet Matiz, 3 позиция","2017г., 0.8 л, Бензин, 176 000 км, Хэтчбек, КПП Механика, Комбинированный, Аудиосистема, Кондиционер, Shevrolet matiz mx krask…",5000,2017,Ташкент
ВАЗ (Lada) Самара 2 (седан 2115),"2007г., 1.5 л, Газ-бензин, 141 000 км, Серый, Седан, КПП Механика, Хрустальная оптика, Противотуманки, Обогрев зеркал, Комбини…",4500,2007,Джизак
"Chevrolet Lacetti, 2 позиция","2013г., 1.8 л, Бензин, Седан, КПП Механика, Противотуманки, Обогрев зеркал, MP3, CD, Аудиосистема, ABS, Сигнализация, Гидравли…",10000,2013,Ташкент
"Chevrolet Nexia 3, 2 позиция","Торг есть 2019г., 1.5 л, Бензин, 34 000 км, Белый, Седан, КПП Механика, Дневные ходовые огни, Противотуманки, Обогрев зеркал, Велюр, Што…",9208,2019,Навои
ВАЗ (Lada) 2106,"Торг есть 1983г., Бензин, 111 км, Белый, Седан, КПП Механика, 2106 сотилади 1983 йилда ишлаб чиқарилган, холати зўр, Паркент тумани Зарк…",1500,1983,Ташкент
Daewoo Damas,"Торг есть 2002г., Газ-бензин, 180 000 км, Белый, Универсал, КПП Механика, USB, telfonlawib gaplawamiz",4144,2002,Бухара
"Chevrolet Matiz, 1 позиция","2009г., 0.8 л, Бензин, 40 000 км, Белый, Хэтчбек, КПП Механика, Аудиосистема, Встроенный телефон, Bluetooth, MP3, USB, ОЛИБ Со…",4000,2009,Ургенч
ВАЗ (Lada) 2106,"Торг есть 1988г., 3 л, Газ-бензин, 20 149 км, Белый, Седан, КПП Механика",1842,1988,Узунский район
ВАЗ (Lada) Vesta,"Торг есть 2018г., Бензин, 79 130 км, Хэтчбек, КПП Автомат, Литые диски, Багажник, Противотуманки, Комбинированный, Аудиосистема, Встроен…",15000,2018,Навои
Hyundai Starex,"Торг есть 1997г., 2 л, Газ-бензин, 555 555 км, Белый, Микроавтобус, КПП Механика, Янги маатор Рем болган Темир метан гба СПГ бор",5000,1997,Наманган
"Chevrolet Matiz, 2 позиция","Торг есть 2004г., 8 л, Газ-бензин, 333 090 км, Хэтчбек, КПП Механика, Велюр, Кожа, Алькантара, Аудиосистема, MP3, USB, Гидравлика руля,…",4000,2004,Самарканд
Daewoo Nexia,"Торг есть 2001г., Бензин, 212 000 км, Седан, КПП Механика, Neksiya 1 yili 2001 benzinda",3223,2001,Турткульский район
Daewoo Tico,"Торг есть 1999г., Бензин, Белый, Седан, КПП Механика",1600,1999,Фергана
Daewoo Nexia,"Торг есть 1997г., 1.5 л, Газ-бензин, Сине-голубой, Седан, КПП Механика, Рейлинги, Шторки, Техосмотр пройден, Kapot OLDI ONG Eshik Kirask…",3499,1997,Уртачирчикский район
"Chevrolet Matiz, 4 позиция","2008г., 0.8 л, Газ-бензин, Хэтчбек, КПП Механика, Литые диски, Рейлинги, Аудиосистема, Кондиционер, Supper kanditsaner 4 ta ba…",3800,2008,Наманган
Kia Carnival,"Торг есть 2006г., 2.9 л, Газ, 333 000 км, Белый, Минивэн, КПП Автомат",10500,2006,Ташкент
Toyota Carina II,"Торг есть 1992г., 2 л, Газ, Серебристый, Седан, КПП Механика, Литые диски, Тонировка, Багажник, Аудиосистема, MP3, USB, Сабвуфер, Гидрав…",2302,1992,Нукус
Toyota Cresta,"Торг есть 1982г., 1.6 л, Газ, Серебристый, Седан, КПП Механика, Шторки, Аудиосистема, MP3, USB, Техосмотр пройден, Вложений не требует,…",1381,1982,Нукус
Ford Granada,"Торг есть 1978г., 2 л, Газ, 20 000 км, Серебристый, Седан, КПП Механика, Техосмотр пройден, Автомобиль на ходу. На пропане. Состояние хо…",1500,1978,Фергана
Chevrolet Damas,"Торг есть 2021г., 0.8 л, Бензин, 2 500 км, Белый, Седан, КПП Механика, Велюр, Шторки, Аудиосистема, Центрозамок, Сигнализация, Техосмотр…",8200,2021,Ташкент
Daewoo Tico,"1999г., Бензин, Белый, Хэтчбек, КПП Механика, Moshina yaxshi mator xadavoy karopka yaxshi kuzipida ishi bor 4ta eshidi ligrofk…",1300,1999,Коканд
"Chevrolet Lacetti, 1 позиция","2018г., 1.5 л, Газ-бензин, 136 000 км, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Полный электро…",10500,2018,Фергана
ВАЗ (Lada) Priora,"2007г., 1.6 л, Газ-бензин, Серебристый, Седан, КПП Механика, Bluetooth, Аудиосистема, Подушка безопасности, Гидравлика руля, Т…",4500,2007,Фергана
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.6 л, Газ-бензин, 4 500 км, Черный, Седан, КПП Автомат, Тонировка, Люк, Литые диски, Противотуманки, Обогрев зеркал,…",15400,2021,Самарканд
Mercedes-Benz Vito,"Торг есть 2008г., 2 л, Дизель, 280 000 км, Фургон, КПП Механика, Литые диски, Велюр, Аудиосистема, Гидравлика руля, ABS, Подушка безопас…",10500,2008,Андижан
"Chevrolet Lacetti, 2 позиция","2014г., 1.8 л, Бензин, 150 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, По…",10129,2014,Шурчинский район
Daewoo Matiz (Standart),"2009г., Бензин, 145 км, Седан, КПП Механика, Radnoy tayyor",3300,2009,Самарканд
Москвич 412,"Торг есть 1983г., Бензин, Кабриолет, КПП Механика",1013,1983,Наманган
Changan Alsvin,"Торг есть 2018г., 1.6 л, Бензин, 92 000 км, Белый, Внедорожник, КПП Механика, Changan 2018 holati yahshi mator karobka ishi yoq",9500,2018,Ташкент
Daewoo Tico,"Торг есть 1999г., 0.8 л, Бензин, 47 000 км, Зеленый, Хэтчбек, КПП Механика",1657,1999,Карши
"Chevrolet Matiz, 3 позиция","Торг есть 2008г., 0.8 л, Газ-бензин, 195 000 км, Хэтчбек, КПП Механика, Аудиосистема, Кондиционер, Mator zor balon yangi. Minishga tayyo…",3000,2008,Бухара
"Chevrolet Orlando, 2 позиция","Торг есть 2015г., 1.8 л, Бензин, 120 000 км, Мокрый асфальт, Минивэн, КПП Механика, Люк, Противотуманки, Аудиосистема, Климат-контроль,…",14300,2015,Андижан
"Chevrolet Nexia 3, 4 позиция","2021г., 1.5 л, Бензин, 190 км, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля,…",10773,2021,Касанский район
"Chevrolet Cobalt, 2 позиция","2021г., 1.5 л, Газ-бензин, 49 000 км, Белый, Седан, КПП Механика, Тонировка, Ксенон, Противотуманки, Обогрев зеркал, Аудиосист…",11786,2021,Термез
"Chevrolet Orlando, 1 позиция","2014г., 2 л, Газ-бензин, 12 700 км, Минивэн, КПП Механика, Аудиосистема, Кондиционер, Климат-контроль, Moshina xolat yaxshi 2…",13200,2014,Самарканд
Chevrolet Damas,"2022г., 0.8 л, Бензин, 20 км, Белый, Внедорожник, КПП Механика, Аудиосистема, Damas Bez Probeg 2022 Yanvar Rangi OQ",8100,2022,Ташкент
"Chevrolet Cobalt, 4 позиция","Торг есть 2022г., 1.5 л, Бензин, 15 км, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидравлика руля,…",12550,2022,Ташкент
Daewoo Nexia,"Торг есть 2006г., Бензин, 124 600 км, Седан, КПП Механика",6100,2006,Самарканд
ВАЗ (Lada) Largus,"2013г., 1.6 л, Газ-бензин, 362 000 км, Хэтчбек, КПП Механика, Литые диски, Обвес, Багажник, Фаркоп, Биксенон, Линзованная опти…",7500,2013,Шурчинский район
ВАЗ (Lada) 2107,"Торг есть 2011г., Газ-бензин, 77 000 км, Белый, Седан, КПП Механика, Вложений не требует, Oldi kiriloda petno bor plni shumka qilingan",4604,2011,Денау
Hyundai Tucson,"Торг есть 2006г., 2 л, Бензин, 428 485 км, Внедорожник, КПП Механика, Литые диски, Рейлинги, Багажник, Дневные ходовые огни, Противотума…",8600,2006,Ташкент
ВАЗ (Lada) 2107,"Торг есть 2008г., Газ-бензин, 195 717 км, Белый, Седан, КПП Механика, Техосмотр пройден, Xolati o'rtacha",2750,2008,Ташкент
Chevrolet Labo,"Торг есть 2022г., 0.8 л, Бензин, 15 км, Пикап, КПП Механика, Labo 2022 Yanvar Rangi OQ Bez Probeg",8200,2022,Ташкент
Москвич 2141,"1991г., Газ-бензин, 268 000 км, Хэтчбек, КПП Механика, Аудиосистема, Мошинани холати яхши полни авшизит килинган расхоти йок р…",1500,1991,Андижан
"Chevrolet Spark, 1 позиция","Торг есть 2014г., 1.3 л, Бензин, 131 000 км, Белый, Хэтчбек, КПП Механика, Литые диски, Тонировка, Спойлер, Обвес, Рейлинги, Багажник, Х…",5500,2014,Самарканд
Kia Seltos,"Торг есть 2022г., 2 л, Бензин, 7 000 км, Белый, Седан, КПП Автомат, Литые диски, Панорамная крыша, Тонировка, Люк",34000,2022,Коканд
"Chevrolet Nexia 3, 2 позиция","Торг есть 2020г., 1.5 л, Бензин, 32 000 км, Седан, КПП Механика, Литые диски, Тонировка, Ветровики, Багажник, Противотуманки, Шторки, Ау…",8287,2020,Термез
"Chevrolet Lacetti, 3 позиция","2022г., 1.5 л, Бензин, Черный, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика…",15850,2022,Ташкент
Chevrolet Damas,"Торг есть 2018г., 0.8 л, Газ-бензин, 80 000 км, Универсал, КПП Механика, Аудиосистема, Bluetooth, CD, USB, DVD, Гидравлика руля, 40% кра…",6700,2018,Фергана
"Chevrolet Lacetti, 3 позиция","2022г., 1.6 л, Бензин, Белый, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика р…",15600,2022,Ташкент
"Chevrolet Nexia 3, 4 позиция","2022г., 1.5 л, Бензин, 10 км, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля,…",11400,2022,Ташкент
"Chevrolet Cobalt, 4 позиция","2021г., 1.5 л, Бензин, 50 км, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля,…",12900,2021,Ташкент
Chevrolet Labo,"2021г., 8 л, Бензин, Белый, Пикап, КПП Механика, Продам Labo 2021 года! Без пробега! Цвет белый! Удлиненный Кузов! Вышла с авт…",8000,2021,Ташкент
Hyundai Creta,"2020г., 2 л, Бензин, 20 000 км, Красный, Внедорожник, КПП Автомат, Техосмотр пройден, Вложений не требует, Hyundai Creta 2, 0/…",21500,2020,Ташкент
ВАЗ (Lada) 2101,"1975г., Газ-бензин, 777 км, Седан, КПП Механика, Kiraskadan chiqan urulmagan",2200,1975,Ташкент
"Chevrolet Cobalt, 4 позиция","2022г., 1.5 л, Бензин, Белый, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидравлика руля,…",12700,2022,Ташкент
"Chevrolet Spark, 4 позиция","2021г., 1.3 л, Бензин, 15 км, Хэтчбек, КПП Механика, Литые диски, Противотуманки, Аудиосистема, Гидравлика руля, ABS, Подушка…",10500,2021,Ташкент
"Chevrolet Spark, 4 позиция","2022г., 1.3 л, Бензин, Белый, Хэтчбек, КПП Автомат, Литые диски, Противотуманки, Аудиосистема, Гидравлика руля, Подушка безопа…",10200,2022,Ташкент
Москвич 412,"1978г., 2 л, Газ-бензин, 11 111 км, Белый, Седан, КПП Механика, Кожа, Мотор недавно с кап. Ремонта. Рессор двойной",1423,1978,Самарканд
ВАЗ (Lada) 2106,"1990г., Бензин, 200 000 км, Белый, Седан, КПП Механика",1700,1990,Ташкент
Daewoo Damas,"1999г., Газ-бензин, 184 565 км, Внедорожник, КПП Механика, Литые диски, Велюр, Шторки, MP3, USB, Техосмотр пройден, Вложений н…",3000,1999,Наманган
Chevrolet Damas,"Торг есть 2013г., Газ-бензин, 306 000 км, Белый, Седан, КПП Механика, Poli chexol xolati alo",6200,2013,Алтыарыкский район
ГАЗ 3102 (Волга),"1993г., Газ, 123 456 км, Седан, КПП Механика, Велюр, Шторки, MP3, USB",2300,1993,Паркентский район
"Chevrolet Nexia 2, 1 позиция DOHC","Торг есть 2009г., 1.6 л, Газ-бензин, 205 000 км, Седан, КПП Механика, Аудиосистема, Moshina kraskasi tozza zangi olingan faqat hamma ner…",5157,2009,Карши
ВАЗ (Lada) 2106,"Торг есть 1987г., Газ, Седан, КПП Механика, Встроенный телефон",2302,1987,Наманган
Daewoo Damas,"1999г., Газ, 777 777 км, Белый, КПП Механика, Мошин нормально холатда нархини келишамиз телда",2500,1999,Бухара
ВАЗ (Lada) 2106,"1981г., Газ-бензин, Синий, Седан, КПП Механика, Urilmagan. Kraska polniy",1289,1981,Наманган
"Chevrolet Cobalt, 4 позиция","2021г., 1.5 л, Бензин, 8 800 км, Белый, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидрав…",11900,2021,Джизак
ВАЗ (Lada) 2101,"1982г., Газ, 999 999 км, Молочный цвет, Седан, КПП Механика, Аудиосистема, Matór 03-07akimlator yangi zadnimosda ovoz bor balo…",1105,1982,Фаришский район
"Chevrolet Lacetti, 3 позиция","2022г., 1.6 л, Бензин, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Велюр, Аудиосистема, Гидравлика р…",16200,2022,Андижан
"Chevrolet Lacetti, 3 позиция","Торг есть 2006г., 1.8 л, Газ-бензин, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля…",5600,2006,Бухара
Daewoo Nexia,"Торг есть 2009г., Газ-бензин, Серый, Седан, КПП Механика, Super salon. Gidravlika rul",4788,2009,Сарыасийский район
Daewoo Nexia,"Торг есть 1997г., 1.5 л, Газ-бензин, 35 555 км, Седан, КПП Механика, Salon polni shumka yoshi katta odam mingan Macicar 903 bor pultta z…",4420,1997,Сырдарья
"Chevrolet Nexia 2, 2 позиция SOHC","Торг есть 2011г., 1.5 л, Газ-бензин, 475 000 км, Седан, КПП Механика, Литые диски, Линзованная оптика, Велюр, Аудиосистема, Гидравлика р…",5500,2011,Гулистан
ВАЗ (Lada) 2101,"Торг есть 1985г., Газ-бензин, Седан, КПП Механика, Matori qilingan (raqamsiz). Kuzov (radnoʻy) chirik yoʻq (lodka kraska). Hodovoyi yahs…",1934,1985,Пайарыкский район
Daewoo Labo,"Торг есть 1998г., Газ-бензин, 200 000 км, Седан, КПП Механика, Xolati yaxshi damasdan taxlangan xamma xujjatlari qilingan",5064,1998,Навои
"Chevrolet Matiz, 1 позиция","2007г., 0.8 л, Газ-бензин, 17 000 км, Хэтчбек, КПП Механика, Asvijit qilingan",3499,2007,Навои
"Chevrolet Cobalt, 3 позиция","2020г., 1.5 л, Бензин, 42 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Подушка…",11033,2020,Ташкент
Daewoo Nexia II,"Торг есть 2009г., 1.6 л, Газ-бензин, 356 000 км, Белый, Седан, КПП Механика, Orqa chap kireloda kraska",4144,2009,Наманган
Chevrolet Damas,"2019г., Газ-бензин, Молочный цвет, Седан, КПП Механика, Zadnimos karopka motor zor",7200,2019,Наманган
Chevrolet Labo,"Есть доставка 2021г., 3.8 л, Бензин, 14 000 км, Белый, Седан, КПП Механика, Kraskasi yoq",8700,2021,Карши
"Chevrolet Matiz, 1 позиция","2004г., 0.8 л, Газ-бензин, 200 000 км, Хэтчбек, КПП Механика, Литые диски, Обвес, Ксенон, Велюр, Комбинированный, Аудиосистема…",3223,2004,Навои
Daewoo Nexia,"2005г., 1.5 л, Бензин, 4 997 511 км, Белый, Седан, КПП Механика, Литые диски, Ксенон, Велюр, Аудиосистема, Встроенный телефон,…",5000,2005,Кызырыкский район
Daewoo Nexia,"Торг есть 2001г., 1.5 л, Газ-бензин, 66 768 км, Седан, КПП Механика, Тонировка, Противотуманки, Шторки, MP3, Гидравлика руля, Центрозамо…",3591,2001,Беруни
"Chevrolet Spark, 2 позиция","Торг есть 2013г., 1.3 л, Газ-бензин, 180 000 км, Хэтчбек, КПП Механика, Противотуманки, Аудиосистема, CD, USB, Гидравлика руля, ABS, Под…",6000,2013,Чиназ
ВАЗ (Lada) Granta,"Есть доставка 2014г., Газ-бензин, 26 000 км, КПП Механика",6300,2014,Ташкент
"Chevrolet Matiz, 3 позиция","Торг есть 2008г., 0.8 л, Газ-бензин, 222 222 км, Седан, КПП Механика, Аудиосистема, Кондиционер",4200,2008,Коканд
Chevrolet Cobalt,"2021г., Бензин, 24 000 км, Белый, Седан, КПП Автомат, Moshina toza naqdva kredit orqali",12300,2021,Ташкент
Daewoo Labo,"Торг есть 2003г., Газ-бензин, 530 000 км, Белый, Седан, КПП Механика, Holati zor kamchiligi karobkada 1dan chiqib ketadi",5000,2003,Наманган
ВАЗ (Lada) 2106,"1983г., 1.6 л, Бензин, Коричневый, Седан, КПП Механика",1600,1983,Ташкент
УАЗ 469,"Торг есть 1979г., 2.2 л, Бензин, 50 000 км, Жёлто-зеленый, Внедорожник, КПП Механика",2800,1979,Ташкент
"Chevrolet Spark, 3 позиция","Торг есть 2010г., 1.2 л, Бензин, 145 000 км, Белый, Хэтчбек, КПП Механика, Рейлинги, Противотуманки, Аудиосистема, Гидравлика руля, ABS,…",6000,2010,Ургенч
ВАЗ (Lada) Largus,"Торг есть 2021г., 1.6 л, Бензин, 7 500 км, Белый, Внедорожник, КПП Механика, Аудиосистема, Bluetooth, MP3, USB, Mashina yangi urilmagan,…",15550,2021,Самарканд
"Chevrolet Captiva, 2 позиция","2012г., 3 л, Бензин, 74 000 км, Серебристый, Кроссовер, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема…",15000,2012,Карши
Daewoo Matiz (Standart),"2008г., Газ-бензин, Седан, КПП Механика, Asalomalekom oladgonla tel qlila hamma malumotla telda",3200,2008,Зангиатинский район
ВАЗ (Lada) 2101,"Торг есть 1983г., Бензин, 10 245 км, Белый, Седан, КПП Механика, Srochno pul kerak telda padrobni cuntramz realni oladiganla tel qilia",900,1983,Ташкент
ВАЗ (Lada) Самара (хэтчбек 2109),"Торг есть 1988г., Газ, 480 000 км, Седан, КПП Механика",829,1988,Джизак
ВАЗ (Lada) Vesta,"Торг есть 2020г., 1.6 л, Бензин, 22 000 км, Седан, КПП Механика, Хрустальная оптика, Аудиосистема, Kraska toza shunga uxshash yana bor b…",14500,2020,Кумкурганский район
ВАЗ (Lada) 2106,"Торг есть 1988г., Газ, Белый, Седан, КПП Механика, Gaz metan 100 talik xolati yaxshi",1289,1988,Джизак
"Chevrolet Cobalt, 4 позиция","Торг есть 2021г., 1.5 л, Бензин, 3 500 км, Белый, Седан, КПП Автомат, Литые диски, Тонировка, Люк, Рейлинги, Багажник, Противотуманки, О…",12600,2021,Ангрен
"Chevrolet Lacetti, 3 позиция","2004г., 1.6 л, Газ-бензин, 700 000 км, Белый, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Г…",5985,2004,Карши
"Chevrolet Nexia 3, 2 позиция","2018г., 1.5 л, Бензин, 70 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, ABS, Подушка безопасност…",8800,2018,Ташкент
"Chevrolet Nexia 2, 2 позиция DOHC","2010г., 1.6 л, Газ-бензин, 290 000 км, Седан, КПП Механика, Аудиосистема, Гидравлика руля, Urulmagan toza petno 1ta 2ta joyida…",5800,2010,Ходжаабадский район
ВАЗ (Lada) 2107,"1984г., Газ-бензин, Седан, КПП Механика, CD, Xolati yaxshi srochna sotiladi",1400,1984,Элликкалинский район
"Chevrolet Lacetti, 3 позиция","2013г., 1.6 л, Газ-бензин, 247 000 км, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Гид…",7000,2013,Коканд
